Actual Player Name,Site.Account_Name,Configuration,Player_Name,Item_Name,Serial Nos,Status,Orientation,Layout,Warranty_End_Date_calc
Misc,7-11 Hope 38717,,,,0,Installed,,2.64862600001115E+018,
Misc,7-11 Winnipeg 14841,,,,0,Shipped,,2.64862600001115E+018,
Misc,,Promotional Display,A0,,111,Prepped,Landscape,2.64862600000032E+018,
Misc,7-11 Vancouver 33281,,,,222,Shipped,,2.64862600001115E+018,
Misc,7-11 Vancouver 33281,,,,2200,Shipped,,2.64862600001115E+018,
Misc,7-11 Edmonton 38652,,,,4321,Shipped,,2.64862600001115E+018,
Misc,test zoho,Infotainment,,,12345678,Installed,,2.64862600000032E+018,
TV Screen,COBS-TheBoardwalk 9328,Promotional Display,,Sharp PN-Y496,85009451,Installed,,2.64862600000032E+018,
TV Screen,COBS-TheBoardwalk 9328,Promotional Display,,Sharp PN-Y496,85009521,Installed,,2.64862600000032E+018,
TV Screen,COBS-TheBoardwalk 9328,Promotional Display,,Sharp PN-Y496,85009611,Installed,,2.64862600000032E+018,
TV Screen,COBS-Clair Marketplace 9332,Promotional Display,,Sharp PN-Y496,85009661,Installed,,2.64862600000032E+018,
TV Screen,COBS-Clair Marketplace 9332,Promotional Display,,Sharp PN-Y496,85009711,Installed,,2.64862600000032E+018,
TV Screen,COBS-Clair Marketplace 9332,Promotional Display,,Sharp PN-Y496,85009731,Installed,,2.64862600000032E+018,
TV Screen,7-11 Edmonton 38543,Slupee TV,SA2,Sharp PN-Y436,85023998,Installed,,2.64862600000032E+018,
TV Screen,7-11 Edmonton 38543,Slupee TV,SA1,Sharp PN-Y436,85024028,Installed,,2.64862600000032E+018,
TV Screen,7-11 Edmonton 38543,Slupee TV,SA0,Sharp PN-Y436,85037156,Installed,,2.64862600000032E+018,
TV Screen,Jean Bleu - Place Longueuil 054,Promotional Display,A0,Sharp –PN-LE601,811428446,Installed,,2.64862600000032E+018,
TV Screen,Jean Bleu - Place Longueuil 054,Promotional Display,A1,Sharp –PN-LE601,811428447,Installed,,2.64862600000032E+018,
TV Screen,Jean Bleu - Place Rosemere,Promotional Display,A0,,903429177,Installed,Landscape,2.64862600000032E+018,2022-10-02
TV Screen,Jean Bleu - Granby,Promotional Display,A0,Sharp PN-LE601,903429180,Installed,,2.64862600000032E+018,2022-08-25
TV Screen,Jean Bleu - Granby,Promotional Display,A1,Sharp PN-LE601,903429212,Installed,,2.64862600000032E+018,2022-08-25
,Claudio Coiffure International,Promotional Display,,ACER VERITON VL4630G,42503558396,Installed,,2.64862600000032E+018,
TV Screen,Kiehl's Yonge 003,Promotional Display,,ZTE MF275R TURBO HUB,325265323323,Installed,,2.64862600000032E+018,
Misc,Jean Bleu - Granby,Promotional Display,Router,,2196029001714,Installed,,2.64862600000032E+018,2020-08-25
Misc,Jean Bleu - Galeries de la Capitale,Promotional Display,Router,,2196029001719,Installed,Landscape,2.64862600000032E+018,2020-10-02
Misc,Jean Bleu - Drummondville,Promotional Display,Router,,2196474001106,Installed,,2.64862600000032E+018,2020-10-14
Misc,Jean Bleu - Victoriaville,Promotional Display,Router,,2196474001109,Installed,,2.64862600000032E+018,2020-09-24
,,Promotional Display,WA0,QB3,001AB322019010365,Installed,,2.64862600000032E+018,2020-04-09
,,Promotional Display,WA0,QB3,002AB322019010605,Prepped,,2.64862600000032E+018,
TV Screen,7-11 Hope 38717,Other (see notes),,,008KCEALF180,Shipped,Portrait,2.64862600000032E+018,
,IKEA-Kitchener,Video Wall,,UR-CHANNEL MEDIA PLAYER,01A0094-085-SB30-A2A,Installed,,2.64862600000032E+018,
,IKEA-Whitby,Video Wall,,UR-CHANNEL MEDIA PLAYER,01A0108-352-SB30-A2A,Installed,,2.64862600000032E+018,
TV Screen,7-11 Vancouver 34290,Promotional Display,C0,Samsung OMD46-75,03GJHCSK100002F,Installed,,2.64862600000032E+018,
TV Screen,7-11 Vancouver 33281,Promotional Display,711-33281WA0,SAMSUNG  OM55D-W,03GYHCSJ600008V,Installed,,2.64862600000032E+018,
TV Screen,KFC Jane St 242-001,Promotional Display,YUM242-001KC0,Samsung OM55D-W,03GYHCSJC00002E,Installed,,2.64862600000032E+018,
TV Screen,7-11 Calgary Airport 38966,Video Wall,WB1,,04EUHCSM400056A,Installed,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,7-11 Calgary Airport 38966,Video Wall,A1 - Video Wall,Samsung UD46E-B,04EUHCSM400064D,Installed,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,IKEA-North York 149,Promotional Display,B0,Samsung UD46E-B,04EUHCSM500082V,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,A0,Samsung UD46E-B,04EUHCSM500091T,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,A2,Samsung UD46E-B,04EUHCSM500092N,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,B2,Samsung UD46E-B,04EUHCSM500093L,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,A1,Samsung UD46E-B,04EUHCSM500094X,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,B1,Samsung UD46E-B,04EUHCSM500096D,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,C1,Samsung UD46E-B,04EUHCSM500097W,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,IKEA-North York 149,Promotional Display,C2,Samsung UD46E-B,04EUHCSM500098P,Replacement,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,7-11 Calgary Airport 38966,Video Wall,B0 - Video Wall,Samsung UD46E-B,04EUHCSM500100V,Replacement,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,IKEA-North York 149,Promotional Display,C0,Samsung UD46E-B,04EUHCSM500103P,Installed,Landscape,2.64862600000032E+018,2022-09-30
TV Screen,7-11 Calgary Airport 38966,Video Wall,A0 - Video Wall,Samsung UD46E-B,04EUHCSM500110N,Installed,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,7-11 Calgary Airport 38966,Video Wall,B1 - Video Wall,Samsung UD46E-B,04EUHCSM500111L,Replacement,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,7-11 Calgary Airport 38966,Video Wall,WB0,,04EUHCSM500115W,Installed,Portrait,2.64862600000032E+018,2022-11-24
TV Screen,IKEA-North York 149,Video Wall,C2,,04EUHCSMA00262Z,Installed,Landscape,2.64862600000032E+018,2022-12-10
TV Screen,IKEA-Montreal 230,Video Wall,C1,,04Y3HCSKB00265V,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,C0,,04Y3HCSKB00266J,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,C2,,04Y3HCSKB00268X,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,B0,,04Y3HCSKB00270Z,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,B2,,04Y3HCSKC00031A,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,B1,,04Y3HCSKC00042M,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,A0,,04Y3HCSKC00044A,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,A1,,04Y3HCSKC00082L,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,IKEA-Montreal 230,Video Wall,A2,,04Y3HCSKC00083H,Installed,Landscape,2.64862600000032E+018,2022-12-22
TV Screen,KFC Markville Mall 1933,Menu Boards,,SAMSUNG DISPLAY DC40E,05FRHCSJ900508D,Installed,,2.64862600000032E+018,
TV Screen,KFC Markville Mall 1933,Menu Boards,,SAMSUNG DISPLAY DC40E,05FRHCSJ900775M,Installed,,2.64862600000032E+018,
TV Screen,KFC Markville Mall 1933,Menu Boards,,SAMSUNG DISPLAY DC40E,05FRHCSJ900779T,Installed,,2.64862600000032E+018,
TV Screen,KFC Markville Mall 1933,Menu Boards,,SAMSUNG DISPLAY DC40E,05FRHCSJ900905F,Installed,,2.64862600000032E+018,
TV Screen,Kernels Pine Centre F0093,Menu Boards,KER-F0093A0,SAMSUNG SH37F,064HHCJJ200024Y,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galeries d'Anjou F0007,Menu Boards,KER-F0007A0,SAMSUNG SH37F,064HHCJJ200027F,Installed,,2.64862600000032E+018,
TV Screen,Kernels/BR - Rideau Centre - F0068,Menu Boards,B0,Samsung SH37F,064HHCJJ200028D,,,2.64862600000032E+018,
TV Screen,Kernels Market Mall,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ200031N,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galeries d'Anjou F0007,Menu Boards,KER-F0007A1,SAMSUNG SH37F,064HHCJJ300001B,Installed,,2.64862600000032E+018,
TV Screen,Kernels/BR - Rideau Centre - F0068,Menu Boards,B2,Samsung SH37F,064HHCJJ400001Z,,,2.64862600000032E+018,
TV Screen,Kernels Mayfair,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ400002J,Installed,,2.64862600000032E+018,
TV Screen,Kernels Fallsview - F0092,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ400004V,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galeries d'Anjou F0007,Menu Boards,KER-F0007A2,SAMSUNG SH37F,064HHCJJ400005N,Installed,,2.64862600000032E+018,
TV Screen,Kernels Mayfair,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ400006B,Installed,,2.64862600000032E+018,
TV Screen,Kernels Fallsview - F0092,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ400008Y,Installed,,2.64862600000032E+018,
TV Screen,Kernels/BR - Rideau Centre - F0068,Menu Boards,B1,Samsung SH37F,064HHCJJ400009M,,,2.64862600000032E+018,
TV Screen,Kernels Mayfair,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ400011X,Installed,,2.64862600000032E+018,
TV Screen,Kernels Fallsview - F0092,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ400013F,Installed,,2.64862600000032E+018,
TV Screen,Kernels Pine Centre F0093,Menu Boards,KER-F0093A2,SAMSUNG SH37F,064HHCJJ400015J,Installed,,2.64862600000032E+018,
TV Screen,Kernels Coquitlam Centre,Menu Boards,A1,Samsung SH37F,064HHCJJ400016P,Installed,Landscape,2.64862600000032E+018,2021-08-17
TV Screen,Kernels Coquitlam Centre,Menu Boards,A0,Samsung SH37F,064HHCJJ400020K,Installed,Landscape,2.64862600000032E+018,2021-08-17
TV Screen,Kernels Square One - C0056,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ400022A,Installed,,2.64862600000032E+018,
TV Screen,Kernels Bayshore F0082,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ400023W,Installed,,2.64862600000032E+018,
TV Screen,Kernels Coquitlam Centre,Menu Boards,A2,Samsung SH37F,064HHCJJ400024X,Installed,Landscape,2.64862600000032E+018,2021-08-17
TV Screen,Kernels Square One - C0056,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ400027Z,Installed,,2.64862600000032E+018,
TV Screen,Kernels Square One - C0056,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ400028J,Installed,,2.64862600000032E+018,
TV Screen,Kernels Bayshore F0082,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ400038T,Installed,,2.64862600000032E+018,
TV Screen,Kernels Bayshore F0082,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ400040R,Installed,,2.64862600000032E+018,
TV Screen,Kernels BR Major Mac & Dufferin,Promotional Display,A1,SAMSUNG SH37F,064HHCJJ500022E,Installed,,2.64862600000032E+018,
TV Screen,Kernels Conestoga,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ500023T,Installed,,2.64862600000032E+018,
TV Screen,Kernels Oshawa Centre,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ500024N,Installed,,2.64862600000032E+018,
TV Screen,Kernels BR Major Mac & Dufferin,Promotional Display,A0,SAMSUNG SH37F,064HHCJJ500028D,Installed,,2.64862600000032E+018,
TV Screen,Kernels Market Mall,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ500030Z,Installed,,2.64862600000032E+018,
TV Screen,Kernels Conestoga,Promotional Display,B2,SAMSUNG SH37F,064HHCJJ500031R,Installed,,2.64862600000032E+018,
TV Screen,Kernels Conestoga,Promotional Display,B0,SAMSUNG SH37F,064HHCJJ500035E,Installed,,2.64862600000032E+018,
TV Screen,Kernels Market Mall,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ500036T,Installed,,2.64862600000032E+018,
TV Screen,Kernels Oshawa Centre,Promotional Display,B1,SAMSUNG SH37F,064HHCJJ500037N,Installed,,2.64862600000032E+018,
TV Screen,Kernels Pine Centre F0093,Menu Boards,KER-F0093A1,SAMSUNG SH37F,064HHCSK600134V,Installed,,2.64862600000032E+018,
TV Screen,Kernels Upper Canada Mall F0017,Menu Boards,B1,Samsung SH37F,064hhcsk900255y,Installed,,2.64862600000032E+018,
TV Screen,Kernels West Edmonton Mall F0011,Menu Boards,A2,Samsung SH37F,064HHCSK900257P,Installed,,2.64862600000032E+018,
TV Screen,Kernels Yorkdale Mall,Menu Boards,B2,SAMSUNG LH37SHFP,064HHCSK900258D,Installed,,2.64862600000032E+018,
TV Screen,Kernels West Edmonton Mall F0011,Menu Boards,A1,Samsung SH37F,064HHCSK900263L,Installed,,2.64862600000032E+018,
TV Screen,Kernels Upper Canada Mall F0017,Menu Boards,B2,Samsung SH37F,064hhcsk900265b,Installed,,2.64862600000032E+018,
TV Screen,Kernels Oakville Place F0094,Menu Boards,A0,Samsung SH37F,064HHCSK900268Y,Installed,,2.64862600000032E+018,
TV Screen,Kernels CrossIron Mills - F0086,Menu Boards,KER-F0086C1,SAMSUNG SH37F,064HHCSK900271H,Installed,,2.64862600000032E+018,
TV Screen,Kernels CrossIron Mills - F0086,Menu Boards,KER-F0086C0,SAMSUNG SH37F,064HHCSK900273M,Installed,,2.64862600000032E+018,
TV Screen,Kernels West Edmonton Mall F0011,Menu Boards,A0,Samsung SH37F,064HHCSK900277T,Installed,,2.64862600000032E+018,
TV Screen,Kernels CrossIron Mills - F0086,Menu Boards,KER-F0086C2,SAMSUNG SH37F,064HHCSK900281E,Installed,,2.64862600000032E+018,
TV Screen,Kernels Yorkdale Mall,Menu Boards,B1,SAMSUNG LH37SHFP,064HHCSK900298J,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galleries De La Capitale F0081,Menu Boards,B0,,064HHCSKA00162B,Installed,Landscape,2.64862600000032E+018,2022-12-06
TV Screen,Kernels Galleries De La Capitale F0081,Menu Boards,B2,Samsung SH37F,064HHCSKA00165V,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galleries De La Capitale F0081,Menu Boards,B0,Samsung SH37F,064HHCSKA00167M,Installed,,2.64862600000032E+018,
TV Screen,Kernels Upper Canada Mall F0017,Menu Boards,B0,Samsung SH37F,064hhcska00168j,Installed,,2.64862600000032E+018,
TV Screen,Kernels Galleries De La Capitale F0081,Menu Boards,B1,Samsung SH37F,064HHCSKA00170P,Installed,,2.64862600000032E+018,
TV Screen,Kernels Burlington Mall,Menu Boards,B0,,064HHCSKA00171A,Prepped,Landscape,2.64862600000032E+018,
