Actual Player Name,Site.Account_Name,Serial Nos
,Claudio Coiffure International,42503558396
,,001AB322019010365
,,002AB322019010605
,IKEA-Kitchener,01A0094-085-SB30-A2A
,IKEA-Whitby,01A0108-352-SB30-A2A
,IKEA-Burlington,150017-77-MSVDA0-A27
,Cobs-West 4th 9002,17F00341
,COBS-Kensington Square 9007,17F00354
,COBS-Driftwood Mall 9069,17F00364
,COBS-Royal Oak 9043,17F00368
,Cobs-Cranbrook 9067,17F00373
,7-11 Calgary Airport 38966,17F00555
,KFC Dawson Creek 098-001,210SHBS5V389
,KFC Rivermount 1391,210SHDP5V378 -> 210SHEW5V380->211SHGQ78415
,KFC Dawson Creek 098-001,210SHDP5V402
,KFC Rivermount 1391,210SHEW5V380 --> 211SHEW7884
,KFC Dawson Creek 098-001,210SHLV5V400
,KFC Saskatoon 8011,210SHMF5V379 removed
,KFC Rivermount 1391,210SHPT5V368
,KFC Dawson Creek 098-001,210SHRC5V390
,KFC Rivermount 1391,210SHVM5V391
,KFC Dawson Creek 098-001,210SHYD5V394
,KFC Saskatoon 8012,211SHBS7W293 ----> 211SHDP7W306
,KFC 1513,211SHCN78435
,KFC Saskatoon 8011,211SHEW78468
,KFC 1513,211SHFK78427
,KFC Rivermount 1391,211SHGQ78415
,KFC Saskatoon 8012,211SHGQ78439 --> 211SHRC78454 (Replaced on Nov/19/2014) ----> 402SHCN3Z371
,KFC Saskatoon 8012,211SHJL78452 ---> 211SHNG7W311 ---> 301SHZY7H437 ----> 406SHWA4B617 --> 412SHNG49311 --> 211SHAR78472
,KFC/TB 1890,211SHKH7W333
,KFC Saskatoon 8012,211SHLV78440 ---> 211SHQU7W324
,KFC Saskatoon 8012,211SHMF78443 ----> 412SHAR49288 --> 210SHQU5V372
,KFC 1513,211SHPT78432
,KFC 1513,211SHRC78430
,KFC 1951,211SHVM78455
,Kernels Carlingwood,22406600992 --> PSVBH0200511507D0A2701
,Kernels Bower Place,23701506392-PSVBHP200123703AD79201 --> new PSVBH0200511507D7F2701  11503212727--> PSVBHP200123703B829201 - 23701523492
,7-11 Cloverdale  26517,31000654496 - DTVFUAA006310019909600
,CBV - Bramalea City Centre,32102987196 --> 31000653296--> 31000657496
,KFC Rivermount 1391,412SHRC49222
,7-11 Drayton Valley 29596,42503559396 / DTVKGAA00342508B099600
,,A
,7-11 Drayton Valley 29596,A 342503566996 / DTVKGAA00342508B559600
,,a0
,KFC Beamsville 2025,A0  211SHQU78436 --> 211SHZY78437
,KFC 1441,A0 - 211SHFK78475 --> 504SHEW1G292
,KFC Markville Mall 1933,A0 - BYTE20160923726
,7-11 Cloverdale  26517,A0 - DTVFUAA00631001989600 SNID: 31000653396
,7-11 Edmonton 27633,A0 - US00216932
,KFC 2024,A0 --> BYTE2015050822
,KFC 1802,A0 --> BYTE2015061984
,KFC Saskatoon 8015,A0 --> BYTE2015085033
,AAA - Amherst,A0 --> DTVKGAA00342508B029600
