Account_Name,Store_Status
7-11 Lansdowne 25406,Open
7-11 West Van 25931,Open
7-11 Calgary 26093,Open
7-11 Bonnyville 27001,Open
7-11 Drayton Valley 29596,Open
7-11 Cold Lake 32239,Open
7-11 Edmonton 33343,Open
7-11 Vancouver 34290,Open
7-11 New Westminster 37122,Open
7-11 Edmonton 37184,Open
7-11 Calgary 37216,Open
7-11 Prince George 37258,Open
7-11 Prince George 37259,Open
7-11 Prince George 37260,Open
7-11 Prince George 37263,Open
AAA Western & Central New York,Open
AAA - Amherst,Open
AAA - Clarence,Open
AAA - DeWitt,Open
AAA - Greece,Open
AAA - Kenton,Open
AAA - Orchard Park,Open
AAA - Penfield,Open
AAA - Pittsford,Open
Booster Juice - Pearson Airport,Open
Booster Juice - Ottawa Airport,Open
Brioche Doree - MetroCentre,Open
Brioche Doree - Scarborough,Open
Brioche Doree - Gauchetiere,Open
Brioche Doree/Au Pain - Rene Levesque,Open
Brioche Doree - Bloor,Open
Brioche Doree - Place Ville Marie,Open
Caryl Baker Visage,Open
CBV - Sherway Gardens,Open
CBV - Scarborough Town Centre,Open
CBV - Pen Centre,Open
CBV - LimeRidge Mall,Open
CBV - Square One,Open
CBV - Lambton Mall,Open
CBV - Centerpoint Mall,Open
CBV - Promenade Mall,Open
CBV - Bayshore Shopping Centre,Open
CBV - Pickering Town Centre,Open
CBV - Upper Canada Mall,Open
CBV - Bramalea City Centre,Open
CBV - Oshawa Centre,Open
CBV - Mapleview,Open
CBV - Masonville Place,Open
CBV - Intercity Shopping Centre,Open
CBV - Georgian Mall,Open
CBV - White Oaks Mall,Open
CBV - Place D'Orleans,Open
CBV- Yorkville,Open
CBV - Niagara Outlet,Open
CBV - Vaughan Mills,Open
CBV - Sunridge,Open
CBV - Markville,Open
Fusion Homes Corporate Office,Open
Fusion - Sales Centre,Open
Kernels Square One - C0056,Open
Kernels West Edmonton Mall F0011,Open
Kernels Upper Canada Mall F0017,Open
Kernels Bayshore F0082,Open
Kernels Dufferin Mall - F0085,Open
Kernels CrossIron Mills - F0086,Open
Kernels Southgate Centre - F0088,Open
Kernels Vaughan Mills - F0089,Open
Kernels West Ed 2 Ice Palace - F0090,Open
Kernels St Laurent Centre - F0091,Open
Kernels Fallsview - F0092,Open
Kiehl's Eaton Centre 021,Open
Kiehl's Chinook 007,Open
Kiehl's Coquitlam Centre 024,Open
Kiehl's Carrefour Laval 020,Open
Kiehl's Dix30 016,Open
Kiehl's Guildford 014,Open
Kiehl's Halifax 022,Open
Kiehl's HBC Queen,Open
Kiehl's Mapleview 008,Open
Kiehl's Market Mall 019,Open
Kiehl's Masonville 023,Open
Kiehl's Metrotown 010,Open
Kiehl's Polo Park 011,Open
Kiehl's Queen St 001,Open
Kiehl's Rideau 018,Open
Kiehl's Sherway 009,Open
Kiehl's Southgate 005,Open
Kiehl's Square One 017,Open
Kiehl's Ste Catherine 004,Open
Kiehl's Upper Canada Mall 015,Open
Kiehl's West Edmonton Mall 012,Open
Kiehl's Yonge 003,Open
Kiehl's Yorkdale 006,Open
Kiehl's Richmond 013,Open
Kiehl's Robson 002,Open
KFC Whitehorse 193-001,Open
KFC Park Place Mall 237-001,Open
KFC Dawson Creek 098-001,Open
KFC 1342,Open
KFC Boxgrove 1376,Open
KFC 1395,Open
KFC 1417,Open
KFC 1423,Open
KFC Waterdown 1434,Open
KFC 1453,Open
KFC 1560,Open
KFC 1562,Open
Star Bedard - Brossard 104,Open
Star Bedard - Beaubien 102,Open
Star Bedard - Trois Rivieres 208,Open
Star Bedard - Gatineau 106,Open
Star Bedard - Sherbrooke 103,Open
Star Bedard - Bathurst 204,Open
Star Bedard - Charlemagne 115,Open
Star Bedard - Levis 206,Open
Star Bedard - St Jerome 112,Open
Star Bedard - St Hyacinthe 114,Open
Star Bedard - Kirkland 108,Open
Star Bedard - Petite Italie 111,Open
Star Bedard - Granby 107,Open
KFC Brantford 1586,Open
KFC Newmarket 1345,Open
Taco Bell Scarborough 6324,Open
KFC Scarborough 1335,Open
KFC Pickering 1360,Open
KFC Downsview 1365,Open
KFC Scarborough 1356,Open
Cobs-Summit 9042,Open
CosmoProf - Calgary 7346,Open
CosmoProf - Calgary 7556,Open
CosmoProf - Calgary 7439,Open
CosmoProf - Hamilton 7321,Open
CosmoProf - Waterloo 7505,Open
CosmoProf - Kitchener 7545,Open
CosmoProf - Oshawa 7333,Open
CosmoProf - Saskatoon 7329,Open
CosmoProf - Winnipeg 7330,Open
CosmoProf - Barrie 7320,Open
CosmoProf - Brampton 7376,Open
Taco Bell Sault Ste. Marie  6902,Open
